data,saldo_total,saldo_pj,saldo_pf,inad_total,inad_pj,inad_pf,taxa_total,taxa_pj,taxa_pf,selic_432,saldo_total_var12m,saldo_pf_var12m,saldo_pj_var12m,selic_432_lag1,selic_432_lag3,taxa_pf_lag1,taxa_pf_lag3,saldo_pf_var12m_lag1,saldo_pf_var12m_lag3,saldo_pj_var12m_lag1,saldo_pj_var12m_lag3,inad_pf_tplus3
2024-06-01,6040221.0,2336157.0,3704064.0,3.17,2.45,3.62,27.81,18.09,32.54,10.5,10.37929433297986,11.876290640157517,8.086161459509267,10.564516129032258,11.07258064516129,32.52,32.83,11.05746840898163,10.491762582361952,6.52227610449565,6.492411938512799,3.75
2024-07-01,6065265.0,2321183.0,3744082.0,3.17,2.33,3.7,27.74,18.13,32.41,10.5,10.730635080451911,12.362753283327411,8.19565228537722,10.5,10.75,32.54,32.59,11.876290640157517,11.101368881436313,8.086161459509267,6.186969146122068,3.7
2024-08-01,6134688.0,2343924.0,3790764.0,3.21,2.36,3.74,27.59,18.13,32.11,10.5,10.503758849981937,11.914020118616753,8.296701925840221,10.5,10.564516129032258,32.41,32.52,12.362753283327411,11.05746840898163,8.19565228537722,6.52227610449565,3.66
2024-09-01,6216178.0,2384373.0,3831806.0,3.22,2.37,3.75,27.48,17.45,32.29,10.6,10.683441778989522,12.319018577544782,8.152487480949278,10.5,10.5,32.11,32.54,11.914020118616753,11.876290640157517,8.296701925840221,8.086161459509267,3.54
2024-10-01,6274641.0,2397484.0,3877157.0,3.17,2.33,3.7,27.93,18.64,32.39,10.75,11.158606453697617,12.391949966301175,9.220404831150276,10.6,10.5,32.29,32.41,12.319018577544782,12.362753283327411,8.152487480949278,8.19565228537722,3.78
2024-11-01,6365255.0,2435998.0,3929256.0,3.14,2.31,3.66,28.44,19.04,32.93,11.15,11.625158618870678,12.554945377598825,10.15731798364914,10.75,10.5,32.39,32.11,12.391949966301175,11.914020118616753,9.220404831150276,8.296701925840221,3.85
2024-12-01,6462746.0,2497213.0,3965534.0,2.95,2.03,3.54,28.5,19.04,33.07,11.89516129032258,11.538270365724589,12.58665733917892,9.913027786213856,11.15,10.6,32.93,32.29,12.554945377598825,12.319018577544782,10.15731798364914,8.152487480949278,3.91
2025-01-01,6464424.0,2450444.0,4013980.0,3.19,2.23,3.78,29.86,21.17,34.01,12.314516129032258,11.757852661154411,12.726693696120005,10.206313812510516,11.89516129032258,10.75,33.07,32.39,12.58665733917892,12.391949966301175,9.913027786213856,9.220404831150276,4.13
2025-02-01,6518695.0,2477987.0,4040708.0,3.26,2.3,3.85,30.42,20.43,35.19,13.25,12.337177573424118,12.840539294440134,11.525937567650658,12.314516129032258,11.15,34.01,32.93,12.726693696120005,12.554945377598825,10.206313812510516,10.15731798364914,4.24
2025-03-01,6579532.0,2495720.0,4083812.0,3.28,2.25,3.91,31.16,21.72,35.61,13.637096774193548,11.520194472510092,12.99646440917892,9.185996199936032,13.25,11.89516129032258,35.19,33.07,12.840539294440134,12.58665733917892,11.525937567650658,9.913027786213856,4.28
2025-04-01,6630471.0,2513816.0,4116655.0,3.5,2.46,4.13,31.41,21.39,36.11,14.25,12.084050642840038,12.88471631670478,10.797118887751743,13.637096774193548,12.314516129032258,35.61,34.01,12.99646440917892,12.726693696120005,9.185996199936032,10.206313812510516,4.55
2025-05-01,6665994.0,2532592.0,4133403.0,3.54,2.4,4.24,31.59,20.99,36.46,14.637096774193548,11.999310462670465,12.47921323930592,11.224896256084204,14.25,13.25,36.11,35.19,12.88471631670478,12.840539294440134,10.797118887751743,11.525937567650658,4.78
2025-06-01,6702441.0,2547204.0,4155236.0,3.57,2.4,4.28,31.79,21.06,36.76,14.85,10.96350613661321,12.18045908494021,9.033939071731911,14.637096774193548,13.637096774193548,36.46,35.61,12.47921323930592,12.99646440917892,11.224896256084204,9.185996199936032,
2025-07-01,6721528.0,2541909.0,4179618.0,3.78,2.51,4.55,31.57,21.59,36.15,15.0,10.820021878681318,11.632651207959665,9.509202850443078,14.85,14.25,36.76,36.11,12.18045908494021,12.88471631670478,9.033939071731911,10.797118887751743,
2025-08-01,6757296.0,2547697.0,4209599.0,3.94,2.55,4.78,31.8,21.69,36.41,15.0,10.148975791433902,11.04882815179209,8.693669248661639,15.0,14.637096774193548,36.15,36.46,11.632651207959665,12.47921323930592,9.509202850443078,11.224896256084204,
2025-09-01,6757296.0,2547697.0,4209599.0,,,,31.8,,36.41,15.0,8.704995255927361,9.859397892273257,6.849767213435154,15.0,14.85,36.41,36.76,11.04882815179209,12.18045908494021,8.693669248661639,9.033939071731911,
2025-10-01,,,,,,,,,,15.0,7.69215322438368,8.57437550246225,6.265443273031224,15.0,15.0,36.41,36.15,9.859397892273257,11.632651207959665,6.849767213435154,9.509202850443078,
